Headline,LABEL
elliot page formerly actress ellen page charged that rights lgbtq people being revoked throughout world post elliot page decries rights lgbtq people being revoked appeared first breitbart,Negative
elon musk said tuesday appointing employees oversee safety platform,Positive
email exchange with conservative think tank tucked into filing electronics retailer offered screen employee groups donations lgbtq causes,Neutral
embattled harry potter author rowling declared that desire forgive stars film franchise based books they ever apologize standing against hateful rhetoric bigoted transphobia,Positive
emmer posts also said president banned children from using religion symbols white house contest that happened under trump well,Negative
emotional speech during glaad media awards angeles thursday night oprah winfrey paid tearful tribute late brother jeffrey died from aids when just years,Neutral
entertainment landscape dominated intellectual property franchising made increasingly higher budgets sometimes feel like fresh storytelling ideas considered risky properly told that only those films with majority mass market,Neutral
eric sorensen praising lgbt clinic district that raising funds administer change drugs minors applauding nonprofit providing vital health care that helps district thrive post they want give,Positive
even current tumultuous political times mark robinson rapid rise from obscure former factory worker with rather checkered personal past highest ranking republican north carolina state government been remarkable years,Positive
evers vetoed bill passed republican controlled legislature that would have banned high school transgender athletes from competing teams that align with their gender identity republicans have votes needed override veto,Neutral
every week mobilesyrup outlines some most notable movies shows that recently canadian streaming platforms streaming canada column typically focuses content from amazon prime video crave netflix other services,Neutral
exclusive transgender activist connected pedophile group influencing academic research trans identified male identifies minor attracted person been running merchandise shop online also working with prominent,Negative
experts fear enforcement using marsy hide names dodge accountability cases police violence,Negative
face rising anti trans legislation cultural challenges resilience trans youth underscore urgent need affirming spaces supportive communities,Negative
families transgender minors filed constitutional challenge tuesday ohio that severely limits gender affirming health care youth under,Neutral
families transgender minors have filed constitutional challenge ohio that severely limits gender affirming healthcare youth under,Neutral
fast rise transgenderism ideology been observed over past decade just about wanting express themselves cross dressing certain individuals insist that they should opposite gender engage chemical,Positive
federal appeals court hearing arguments over arkansas first nation gender affirming care minors,Neutral
federal judge alabama unsealed report that accuses dozens nation lgbtq rights attorneys improperly trying select judge friendly lawsuit they brought state,Neutral
feels safe that died direct result trauma from physical altercation school maybe just maybe many more maybe years bullying ostracization feeling unwelcome place school requ,Negative
first daily signal cross dressed grandmother child abused uncle confused hurting walt heyer sought become woman read more post exclusive documentary film would share wrenching story tried beco,Negative
flagship event women tennis going saudi arabia where critics jailed male guardianship system denies women girls basic human rights,Negative
florida seen population boom many longtime residents recent transplants rising costs divisive politics have them fleeing,Neutral
forget hollywood hustle entertainment industry newest power players building careers social media launching them streaming services,Neutral
former civil liberties group continues morphing into progressive organization,Neutral
former nurse told news felt completely wrong hear medics agree send child hormone clinic after four assessments gender identity clinic,Negative
former olympic gold medalist caitlyn jenner monday said supported local york official order banning female sports teams with transgender athletes from using county owned facilities,Negative
former olympic medal winner caitlyn jenner slammed president biden declaration easter sunday transgender visibility post caitlyn jenner absolutely disgusted with biden over transgender visibility appeared firs,Negative
former president donald trump declared that november election will christian visibility opposition president biden declaration transgender visibility march which coincided with easter sunday this year post trum,Neutral
former transgender person detransitioned crashed disney shareholder meeting wednesday calling into public line accusing studio pressuring young girls into undergoing change procedures post detransitioner crashes disne,Negative
founding capital janel diaz sought provide kind services that needed after transition,Positive
four year review published tuesday found that there quot weak evidence quot support puberty blockers children identify transgender,Neutral
francesca farago going year reality star best known appearing netflix handle perfect match announced exciting news that expecting first child with fianc jesse sullivan sunday march,Positive
funded research into litany possible negative associated with transgenderism while simultaneously promoting lifestyle minors their families,Negative
gender clinic austin texas stirred controversy allegedly performing hundreds unconventional experimental dangerous genital surgeries crane center transgender surgery often dubbed frankenstein headed director,Negative
gender critical teacher sacked refusing student preferred pronouns employment tribunal heard,Negative
gender medicine world called experts there consensus support prolific puberty blockers cross hormones surgeries,Positive
georgia republican state senators making another attempt impose conservative stamp state public schools passing bill tuesday that would transgender girls from playing high school sports with other girls limit education requ,Negative
german lawmakers expected vote friday government plan make easier transgender intersex nonbinary people change their name gender official documents,Neutral
german lawmakers expected vote government plan make easier transgender intersex nonbinary people change their name gender official documents,Neutral
german lawmakers friday approved legislation that will make easier transgender intersex nonbinary people change their name gender official records,Positive
german parliament approved friday that will make easier people change their legal gender identities first names,Positive
glaad leading advocacy group lgbtq representation media released report detailing numerous instances anti trans sentiment meta social platforms,Negative
global research articles read languages activating translate website button below author name only available desktop version receive global research daily newsletter selected articles click here click share,Positive
governor kansas vetoed proposed gender affirming care minors measure require more reporting from abortion providers what says vague bill making crime coerce someone into having abortion,Negative
group female athletes sued national collegiate athletic association ncaa over organization allowing quot transgender quot,Negative
groups warn supreme court that lgbtq youth make percent chronically houseless youth population,Negative
happy thursday unanimous vote sacramento calif declared itself sanctuary trans folks while california already sanctuary state city will specifically ensure local resources used enforcement from other,Positive
harry potter author rowling criticised celebrities used their platforms cheer transitioning children suggesting would forgive film franchise stars even they apologised,Negative
harry potter author said actors save their apologies after highlighted independent review gender identity services children young people,Neutral
harry potter creator rowling going anything nowadays stir controversy latest point discussion stars original films based beloved wizarding series both whom unlikely ever star harry potte,Neutral
heart hilary cass review gender identity services concern welfare children young people stated ambition ensure that those experiencing gender dysphoria receive high standard,Neutral
here people advocating internet regulations speech think things will work enlightened group pure minded thoughtful individuals will carefully outlaw dangerous speech that invokes hatred encourages behavior then that speec,Positive
high school teacher suing arkansas over restrictions what taught public schools,Negative
hollywood star affleck wife actor jennifer garner year child come transgender wednesday memorial service garner father they announced their name affleck,Neutral
hostility toward lgbtq kids enshrined hundreds bills families with such children under unprecedented threat raising risks suicide physical attacks,Negative
house speaker being rebuked some republicans earmarks related transgender abortion care part spending bill,Positive
house speaker most unpopular washington,Neutral
idaho enacted wednesday protects taxpayers from paying gender transition procedures variety ways legislation adds existing read more post idaho legislature bans public funding gender transition procedures,Positive
idaho lawmakers expected vote bill that would public funds gender affirming care including state employees using work health insurance adults covered medicaid,Neutral
idaho lawmakers expected vote this week bill that would public funds gender affirming care including state employees using work health insurance adults covered medicaid,Neutral
idaho lawmakers have passed series bills targeting lgbtq residents this year including this week that prevent public employees from being required someone preferred pronouns redefine gender being synonymous with,Neutral
idaho lawmakers spent much unexpectedly long sometimes contentious legislative session focusing bills targeting lgbtq residents limiting health care reading materials installing protections teachers pronouns tran,Positive
idaho legislature passed bill that would public funds gender affirming care including state employees using work health insurance adults covered medicaid,Positive
improving evidence base young people essential next step writes hilary cass independent review into gender identity services children young people published medicine science uncertainty probability,Neutral
incident gained attention social media with hashtag boycottplanetfitness trending thousands voiced their support patricia silva,Positive
influencer said youtube video that shoot court then ordered share content about homophobia transphobia,Negative
instead superstition gender ideology injuries inflicts through revolt against reality need return medicine that does harm,Negative
international transgender visibility aims show trans,Neutral
international transgender visibility created march honor transgender community,Positive
international transgender visibility happens land same easter this year donald trump doesn seem happy about,Positive
israel will into northern gaza after biden warned that support would depend israel addresses civilian suffering labels backed presidential election,Negative
jenner criticized biden proclaiming march transgender visibility,Negative
jennifer launching athletic clothing brand help protect women girls from being forced compete share locker rooms with transgender athletes,Positive
john thompson historian teacher asks responsible death benedict this article progressive blames hateful anti rhetoric oklahoma elected officials officials concluded that committed suicide crea,Negative
judges overseeing high profile human rights trial argentina convicted former officials crimes against humanity tuesday first case focus former military dictatorship overlooked practice committing sexual violence against,Negative
judges with court appeals circuit louis heard arguments over judge ruling last year that struck down unconstitutional,Negative
june actor laverne appeared cover time magazine issue titled transgender tipping point,Neutral
kansas children will this becomes said state senate democratic leader dinah sykes,Neutral
kansas governor friday vetoed proposed gender affirming care minors measure require more reporting from abortion providers what called vague bill making crime coerce someone into having abortion,Negative
kansas prepares gender affirming care minors students state largest university taking action,Positive
kansas state legislature continued destructive push against lgbtq community last week passing bills with dangerous ramifications queer residents,Negative
karol markowicz believe data activists transgenderism among kids mostly leaked documents last month from world professional association transgender health found some doctors think disclosing potential risks necessary,Negative
kicked other prayer services members bangladesh transgender hijra community have been welcomed mosque muslim majority nation with promise worship without discrimination humble structure single room shed with walls,Positive
kristi noem conspiracy theory landed equally parts creepy hilarious maybe actually true,Negative
landmark study reveals transgender kids actually have other mental health diagnoses authored sara parshaall perry epoch times emphasis ours been letter week destroying gender narrative trans juggernaut just anot,Negative
last week told about pattern rightwing malice that once citizens recognize what they make choices without also getting trapped very same pattern malice that pattern malice this when things happen,Positive
last year legislature governor minnesota added category human rights called gender identity minnesota human rights result been unleashing tyranny against christian schools churches throughout state,Neutral
last year objections nebraska bill that sought gender affirming care anyone under ground work legislature near standstill this year supporters companion bill restricting transgender students access bathrooms,Negative
last years debate raged north america over should allowed compete sports while discussion revolves around concepts fairness inclusion researchers science around whether trans athletes have competitive,Negative
late activist transformed religious symbolism used denigrate debase forging path world undocumented community workers transgender people,Neutral
laura schulte journal sentinel tony evers vetoes bill aimed trans binary athletes madison tony evers vetoed bill tuesday that would have banned transgender gender nonconforming youth from participating school athletic,Negative
lawsuit been filed against ohio house bill which bans gender affirming medical care transgender minors,Negative
left astroturf down vandy student arrested after hamas ties white house muslim brotherhood linked leaders group students held vanderbilt university this week support,Negative
leftist activists react with fury patricia morgan post legislator seeking challenge sheldon whitehouse senate introduces bills keep boys girls sports protect parents rights first appeared tion,Negative
legal settlement florida legislative action arkansas lawsuit georgia this week made waves ongoing national battle over rights lgbtq americans,Negative
legal victories lgbtq people youth color face rollbacks amid rise reactionary sheriffs,Positive
legislation passed lawmakers present with only voting against could thailand join taiwan nepal allowing same unions,Positive
legislators least states citing recent decision england public health service restrict puberty blockers transgender youths support their related proposals,Neutral
legislators least states citing recent decision england restrict gender transitions young people support their related proposals,Neutral
lgbtq allied members congress friday introduced resolution support rise lgbtqi youth schools initiative call action communities across country demand equal educational opportunity basic civil rights protections,Positive
lgbtq groups have lambasted document taking anti trans positions undercutting church attempts inclusion,Negative
like child dusty farr says also changed there dead then there,Negative
like winkle slept through revolution awakened world gender identities sexual orientations,Positive
lisa maree williams getty images conservatives losing their minds after president biden acknowledged trans visibility which this year just happens fall same easter many furious right wing pundits politicians even,Negative
literature from hastings museum gallery britain come under scrutiny disseminating inaccurate information particularly regarding animal behavior historical contexts museum endorsed guide authored hastings queer history,Negative
little rock federal appeals court will hear arguments thursday over arkansas first nation gender affirming care minors fight over restrictions transgender youths adopted dozen states moves closer,Negative
long island roller rebels suing county leader over executive order meant prevent women girl leagues teams with transgender players from using county parks fields,Negative
louis judge ordered planned parenthood turn over certain documents attorney general andrew bailey ongoing investigation transgender health care providers,Neutral
louis judge ruled that missouri attorney general andrew bailey entitled planned parenthood transgender care records ordering nonprofit turn over some most sensitive files built unelected political career,Positive
mackenzie scott billionaire philanthropist wife amazon founder jeff bezos giving million hundreds nonprofits including dozens organizations that support lgbtq people,Positive
major buildings landmarks across will pink white light blue mark post what know about visibility designed show world trans appeared first thegrio,Neutral
majority children confused about their grow that feeling time they become adults according year study post transgender most children confused about their grow adults appeared first breitbar,Negative
many anti lgbtq republicans reacted negatively bill which must pass friday night avert shutdown,Negative
many hours have left until rapture,Positive
many lgbtq video gamers gaming build community especially jurisdictions that considering anti lgbtq legislation,Neutral
marketscreener texas appeals court friday upheld lower court injunction blocking state from investigating parents provide their transgender children with gender affirming medical treatments which governor greg abbott called abusive,Negative
marlon wayans responding brittany moreland filing full custody their month daughter asking increased child support wayans currently pays month moreland wants additional according,Positive
mary zeigler explains will pincer movement hand claiming that griswold doesn apply minors other hand making griswold moot defining forms birth control women have control over abortifacients concern,Positive
medical professionals worried about long term physical mental effects anti lgbtq legislation,Negative
members city council southern california facing recall effort them believes that latent transphobia partially motivating first elected city council calexico california city nearly,Positive
memory must recommit work discrimination address suicide crisis impacting many nonbinary transgender children biden stated,Negative
miriam margolyes played professor sprout harry potter films message adult fans harry potter series grow speaking australia news margolyes doubled down previous comments about harry potter saying people shou,Positive
mississippi republican controlled house voted wednesday favor measure that would restrict transgender people bathrooms locker rooms public buildings including university dormitories,Neutral
missouri father dusty farr fighting transgender daughter right girls bathroom school,Negative
modern presidency divider uniter become powerful anything else,Positive
monday former president donald trump announced endorsement pastor mark burns south carolina congressional district pastor previously exhibited extremist rhetoric towards lgbtq transgender individuals calling arrest,Neutral
monkey classic underdog tale,Positive
more than canadian artists from worlds music film literature denouncing what they describe alarming destructive anti trans legislation open letter released sunday music superstars tegan sara,Negative
most insidious source anti trans movement this country writes andrea long provocative cover story quite simply liberals those liberals will defend liberal support empiricism,Negative
move follows gavin newsom signing that established california sanctuary state trans youth,Positive
movie making audiences uncomfortable first column story link related stories civil marching opening record,Negative
much anticipated full autopsy report benedict year transgender indigenous student from owasso high school oklahoma died february released wednesday offering more comprehensive understanding events leading,Negative
murthy missouri could change platforms deal with covid misinformation election disinformation public emergencies,Negative
nashville tenn doctors across country have seemingly thrown caution wind prescribing experimental drugs block puberty chemically alter young people bodies read more post will invisible hand finally stop doctors from putt,Negative
national association intercollegiate athletics which represents small colleges universities barred transgender women from participating women sports,Neutral
nearly year amateur league suing county leader over executive order meant prevent women girl leagues teams with transgender,Negative
nebraska state legislator transitioning from blue after party censured having life stance nebraska state mike read more post citing life views nebraska state senator switches parties appeared first,Positive
necessary preserve traditional family according chairman bashkiria state assembly konstantin tolkachev read full article,Neutral
never about children always about absolute exclusion from public life journalist erin reed said,Negative
news hosts complained that president biden administration plan introduce paganism easter despite holiday roots pagan traditions after friends showed easter basket ideas complete with decorated eggs bunny ears,Negative
news news host jesse watters friday claimed there difference between being being transgender during segment about puberty blockers minors transitioning from gender another watters began arguing that gender reassignme,Neutral
nonbinary teen died suicide after high school fight tulsa county district attorney says fight mutual there enough evidence press charges,Negative
north face sponsors lgbtq camp where children young perform drag housing bathrooms genderless post north face among sponsors lgbtq camp where year olds perform drag appeared first breitbart,Negative
null addie mena staff supreme court rejected without comment this week indiana catholic husband wife petition over dispute involving custody their transgender identifying mary jeremy,Negative
null shutterstock washington newsroom american civil liberties union ohio filed lawsuit against state ohio that challenges constitutionality statewide doctors providing change drug,Negative
oklahoma prosecutors declined file charges controversial death nonbinary teenager after fight high school bathroom year dagny benedict identified nonbinary under name benedict rushed hospital afte,Negative
oklahoma teen death ruled suicide advocates more support needed teens grappling with bullying hostility discrimination,Negative
olympic gold medalist caitlyn jenner thrown support behind local york official order banning female sports teams with transgender athletes from using county owned facilities reality television star came transgender woman,Positive
over artists have signed including neil young feist demarco julie doiron andy shauf,Neutral
over elite british women athletes have expressed fear about publicly opposing transgenders women sports post damned damned british women athletes express fears speaking against trans athletes appeared firs,Negative
over last couple years trans people have been beaten down anti trans conservative state legislation with dozens states heavily restricting trans life particularly youth,Negative
over past decade united states seen rise power transgender movement once fringe left wing movement premised read more post rise transgenderism appeared first daily signal,Neutral
pacific press getty republican politician long island just last week held umbrella over former president donald trump head wake slain york city police officer come under fire over controversial plan organize what criti,Negative
page declaration dignitas infinita human dignity asserts that person born with irrevocable gift from that anyone desires personal self determination gender theory prescribes risks conceding,Positive
panel judges that hear case gender critical christian teacher dismissed school stepped down,Negative
parents rights activist robert chiaradio says westerly first only district state commit replacing state guidance with locally crafted policy with this decision says believe that dominoes will start fall acros,Positive
parents southern california have voted remove conservative school board members after they spearheaded policy that forcibly outs transgender students their guardians,Neutral
patel monkey unwieldy feverish revenge action movie playing theaters,Negative
pennsylvania casey fighting senate seat against republican candidate david mccormick joined president biden declaring easter sunday transgender visibility post battleground pennsylvania embattle,Negative
person born with document argued irrevocable gift from change intervention rule risks threatening unique dignity person received from moment conception,Negative
photo illustration elizabeth brockway daily beast getty oklahoma superintendent public instruction ryan walters spewed transphobia online same afternoon state medical examiner reported that year benedict died suicide,Negative
photo illustration elizabeth brockway daily beast getty what news outraged about latest instance conservative cable giant whipping audience into frenzy over culture outrages news stars have been fuming that,Negative
photo illustration erin flynn daily beast getty images jared taylor would living idyllic life weren their state legislature their home four blocks from their elementary school their names have been change,Negative
photo illustration thomas levinson daily beast getty rajee narinesingh dining florida restaurant with friends october when woman stopped women bathroom told leave belong this bathroom said,Negative
planet fitness stock dropped over seven half percent tuesday after they revoked woman membership taking photo women locker room,Negative
poll confirms impact laws targeting transgender people over past year,Neutral
possible grow during certain time period influenced systemic dominant cultural belief systems,Neutral
post transgender activists attempt author rowling children target innocent mother instead appeared first gateway pundit,Negative
practice surrogacy violates dignity child vatican said declaration,Negative
president biden administration banned religious symbols overtly religious themes from easter contest affiliated with white house,Neutral
president biden apparently denied making controversial decision just after announcing read full article,Negative
president biden declared march same easter sunday transgender visibility,Neutral
president biden education secretary miguel cardona celebrated transgender visibility telling students they improve america schools culture post biden secretary miguel cardona transgender visibility your school,Positive
president biden faced significant criticism from conservatives over recognition trans visibility which happened overlap this year with easter sunday founded psychotherapist rachel crandall crocker recognized,Negative
president biden facing angry backlash from conservative critics after traditionally declared march trans visibility read full article,Negative
president biden issued statement death transgender oklahoma teen benedict whose death ruled suicide wednesday,Negative
president biden proclaimed easter sunday quot transgender visibility quot which annually falls march,Neutral
president biden religious themed celebration transgenderism during easter weekend further damage tepid support among many american voters hispanic christian post this abuse latino radio host slams biden easte,Negative
president biden secular deputies kidnapped christian theology champion transgenderism holiest weekend christianity post biden tells trans americans they made image appeared first breitbart,Negative
president biden transgender appointee dismissed public opposition promotion transgender policies during christianity easter holy days post faux outrage transgender levine dismisses public anger over easter provocation,Negative
president biden white house declared holiest christian holidays transgender visibility post biden declares easter sunday transgender visibility appeared first breitbart,Negative
president have make countless difficult decisions some things simply more important than others choosing celebrate easter holiest christian holiday over lgbtq propaganda shouldn have been them biden,Positive
prime minister said there should extreme caution about gender treatments report said children being failed gender services,Negative
progressive educators seem hell bent turning passing state confusion into irreversible decisions many come regret read full article,Negative
prominent lgbtq organizations that push called gender affirming care children have weigh news this week that england banning puberty read more post lgbtq orgs that push child gender transitions silent england bans puberty,Neutral
protect trans kids just slogan promise need,Positive
quarterback been speaking pretty continuously with kennedy himself promoter conspiracy theories about joining candidate ticket,Negative
quebec court appeal upheld rule that requires underage teenagers applying change their official designation obtain letter from health professional social worker declaring change appropriate,Neutral
